,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
80,Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
81,Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1935
82,Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,1530721,
83,Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,
84,Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,1170010,
85,Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,
86,Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,18230,1925
87,Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,
88,CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,1138118,
89,Celanese Corp.,CE,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,
90,Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,
91,CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,
92,Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,804753,
93,CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,
94,Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,316709,
95,Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,
96,Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,
97,Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/2011,1058090,
98,Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,1879
99,Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,
100,CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,701221,
101,Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,
102,Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,
103,Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,
104,Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",5/31/1988,831001,
105,Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,
106,Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",12/1/1999,877890,
107,The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,
108,CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,
109,CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,811156,
110,Coca-Cola Company (The),KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1913
111,Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,
112,Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,21665,
113,Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,1166691,1886
114,Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,
115,Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,1806
116,ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,
117,Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,1047862,
118,Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/2005,16918,
119,The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",9/23/2016,711404,2002
120,Copart Inc,CPRT,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,900075,1823
121,Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,24741,
122,Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,
123,"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",10/3/2016,1024305,
124,Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1051470,1851
125,CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948,
126,Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,
127,CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,
128,D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1980
129,Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1919
130,Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1996
131,DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,927066,1978
132,Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1969
133,Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,1938
134,Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,818479,
135,Devon Energy Corp.,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,1837
136,Diamondback Energy Inc,FANG,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,1539838,
137,Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,
138,Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,
139,Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,2007
140,Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,1437107,
141,Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,
142,Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,
143,Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,935703,
144,Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,
145,Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,
146,DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1983
147,Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,
148,Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,2017
149,Eastman Chemical,EMN,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,
150,Eaton Corporation,ETN,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,
151,eBay Inc.,EBAY,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,
152,Ecolab Inc.,ECL,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,
153,Edison Int'l,EIX,reports,Utilities,Electric Utilities,"Rosemead, California",,827052,1911
154,Edwards Lifesciences,EW,reports,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1099800,1995
155,Electronic Arts,EA,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,
156,Emerson Electric Company,EMR,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1886
157,Entergy Corp.,ETR,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,
158,EOG Resources,EOG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,
159,Equifax Inc.,EFX,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,1890
160,Equinix,EQIX,reports,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,1913
161,Equity Residential,EQR,reports,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,906107,
162,"Essex Property Trust, Inc.",ESS,reports,Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,920522,
163,Estee Lauder Cos.,EL,reports,Consumer Staples,Personal Products,"New York, New York",1/5/2006,1001250,
164,Evergy,EVRG,reports,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1711269,
165,Eversource Energy,ES,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,
166,Everest Re Group Ltd.,RE,reports,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1095073,
167,Exelon Corp.,EXC,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,1909
168,Expedia Group,EXPE,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,1324424,1966
169,Expeditors,EXPD,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,
170,Extra Space Storage,EXR,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1289490,2000
171,Exxon Mobil Corp.,XOM,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,
172,F5 Networks,FFIV,reports,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1048695,
173,"Facebook, Inc.",FB,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,1326801,
174,Fastenal Co,FAST,reports,Industrials,Building Products,"Winona, Minnesota",9/15/2009,815556,1999
175,Federal Realty Investment Trust,FRT,reports,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,34903,1996
176,FedEx Corporation,FDX,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,
177,Fidelity National Information Services,FIS,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",11/10/2006,1136893,
178,Fifth Third Bancorp,FITB,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,
179,FirstEnergy Corp,FE,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,
180,First Republic Bank,FRC,reports,Financials,Regional Banks,"San Francisco, California",1/2/2019,1132979,
181,Fiserv Inc,FISV,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",4/2/2001,798354,1858
182,FleetCor Technologies Inc,FLT,reports,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",6/20/2018,1175454,1997
183,Flowserve Corporation,FLS,reports,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,30625,
184,Fluor Corp.,FLR,reports,Industrials,Construction & Engineering,"Irving, Texas",3/31/1980,1124198,2000
185,FMC Corporation,FMC,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,37785,
186,Foot Locker Inc,FL,reports,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/2016,850209,
187,Ford Motor,F,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,
188,Fortinet,FTNT,reports,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,
189,Fortune Brands Home & Security,FBHS,reports,Industrials,Building Products,"Deerfield, Illinois",6/22/2016,1519751,1903
190,Franklin Resources,BEN,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,2000
191,Freeport-McMoRan Inc.,FCX,reports,Materials,Copper,"Phoenix, Arizona",,831259,
192,Gap Inc.,GPS,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,
193,Garmin Ltd.,GRMN,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1947
194,Gartner Inc,IT,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,749251,1912
195,General Dynamics,GD,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,
196,General Electric,GE,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,
197,General Mills,GIS,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,
198,General Motors,GM,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,1899
199,Genuine Parts,GPC,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,40987,1892
200,Gilead Sciences,GILD,reports,Health Care,Biotechnology,"Foster City, California",7/1/2004,882095,1856
201,Global Payments Inc.,GPN,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,1123360,
202,Goldman Sachs Group,GS,reports,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,886982,1925
203,Goodyear Tire & Rubber,GT,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582,
204,Grainger (W.W.) Inc.,GWW,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,277135,
205,Halliburton Co.,HAL,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,
206,Hanesbrands Inc,HBI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,1359841,1898
207,Harley-Davidson,HOG,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,
208,Hartford Financial Svc.Gp.,HIG,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,
209,Hasbro Inc.,HAS,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,1903
210,HCA Holdings,HCA,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,860730,
211,Helmerich & Payne,HP,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[7]",3/1/2010,46765,
212,Henry Schein,HSIC,reports,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1000228,
213,The Hershey Company,HSY,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,
214,Hess Corporation,HES,reports,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,
215,Hilton Worldwide Holdings Inc,HLT,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1585689,1894
216,Hologic,HOLX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,859737,
217,Home Depot,HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,354950,
218,Honeywell Int'l Inc.,HON,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,773840,
219,Hormel Foods Corp.,HRL,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,48465,
220,Host Hotels & Resorts,HST,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1070750,
221,HP Inc.,HPQ,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,47217,1906
222,Humana Inc.,HUM,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,
223,Huntington Bancshares,HBAN,reports,Financials,Regional Banks,"Columbus, Ohio",,49196,
224,Huntington Ingalls Industries,HII,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,1501585,1939 (2015)
225,IDEXX Laboratories,IDXX,reports,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,874716,1961
226,IHS Markit Ltd.,INFO,reports,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1598014,1866
227,Illinois Tool Works,ITW,reports,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,49826,
228,Illumina Inc,ILMN,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1110803,
229,Intel Corp.,INTC,reports,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,
230,Intercontinental Exchange,ICE,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,1571949,
231,International Business Machines,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,
232,Incyte,INCY,reports,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,879169,
233,International Paper,IP,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434,
234,Interpublic Group,IPG,reports,Communication Services,Advertising,"New York, New York",10/1/1992,51644,1911
235,Intl Flavors & Fragrances,IFF,reports,Materials,Specialty Chemicals,"New York, New York",3/31/1976,51253,
236,Intuit Inc.,INTU,reports,Information Technology,Internet Software & Services,"Mountain View, California",12/5/2000,896878,1898
237,Intuitive Surgical Inc.,ISRG,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1035267,
238,Invesco Ltd.,IVZ,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,914208,
239,IPG Photonics Corp.,IPGP,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1111928,
240,IQVIA Holdings Inc.,IQV,reports,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",8/29/2017,1478242,
241,Iron Mountain Incorporated,IRM,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1020569,
242,Jack Henry & Associates Inc,JKHY,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,1262439,
243,J. B. Hunt Transport Services,JBHT,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,728535,
244,Jefferies Financial Group,JEF,reports,Financials,Multi-Sector Holdings,"New York, New York",8/27/2007,96223,
